ID,ID_CLIENTE,ID_SERVICIO,FECHA_INICIO,FECHA_FIN
,1,1,2023-08-01,2023-08-02
,1,2,2023-08-02,2023-08-05
,2,1,2023-08-13,2023-08-14
,3,2,2023-08-15,2023-08-18
,3,3,2023-08-21,2023-08-25
,4,4,2023-08-02,2023-08-02
,4,5,2023-08-01,2023-08-02
,4,5,2023-08-01,2023-08-02
,5,3,2023-08-01,2023-08-02
,5,3,2023-08-07,2023-08-08
,5,6,2023-08-09,2023-08-09
,5,1,2023-08-10,2023-08-12
,6,6,2023-08-10,2023-08-11
,7,5,2023-08-10,2023-08-12
,8,1,2023-08-01,2023-08-02
,8,1,2023-08-01,2023-08-02
,8,1,2023-08-10,2023-08-11
,8,1,2023-08-20,2023-08-20
,9,2,2023-08-01,2023-08-02
,10,3,2023-08-13,2023-08-15
,11,4,2023-08-23,2023-08-23
,12,5,2023-08-22,2023-08-22
